Feature,Importance
number_inpatient,0.2797156140515885
discharge_disposition_id_1,0.06870288302594296
num_medications,0.0642979536248768
num_lab_procedures,0.061026533506010144
time_in_hospital,0.05112562559142046
number_emergency,0.04882988756427654
discharge_disposition_id_22,0.04867328888731103
number_diagnoses,0.04713927392127932
num_procedures,0.028833031759346598
number_outpatient,0.020916385820468827
discharge_disposition_id_3,0.017936775933969893
discharge_disposition_id_5,0.011344180721139534
age_[50-60),0.010624766590562275
admission_source_id_7,0.010120334703539348
gender_Female,0.009446303608112086
gender_Male,0.009178532016156916
diabetesMed_Yes,0.009175969582974432
diabetesMed_No,0.008758168171362185
discharge_disposition_id_6,0.008587283347008022
age_[80-90),0.008363916349092955
age_[70-80),0.00823250575592107
race_Caucasian,0.008203098389020077
A1Cresult_None,0.00817958905173098
admission_type_id_1,0.008124414178630114
admission_type_id_3,0.007728500745440622
admission_source_id_1,0.007510846608907554
change_No,0.007338672411041465
change_Ch,0.007239618054213483
admission_type_id_2,0.007141855931618325
race_AfricanAmerican,0.006984764417698131
discharge_disposition_id_2,0.006799521615508294
age_[60-70),0.006607847210657223
age_[20-30),0.005370086602216115
A1Cresult_>8,0.005122612814637587
age_[40-50),0.005001287393232333
admission_type_id_5,0.004445474666748762
admission_type_id_6,0.0043678251796837216
A1Cresult_Norm,0.00433115421563818
admission_source_id_17,0.004319924709910465
max_glu_serum_None,0.004191611923597527
age_[90-100),0.0037408035897912046
age_[30-40),0.003696342509791668
admission_source_id_4,0.003463471802830244
race_Unknown,0.003384396401254706
A1Cresult_>7,0.003001092194200962
discharge_disposition_id_18,0.002987310919388106
max_glu_serum_Norm,0.002953849864106559
race_Hispanic,0.0026733999910074284
discharge_disposition_id_28,0.0026076782529300038
admission_source_id_6,0.00222583744389186
discharge_disposition_id_23,0.0020600528836175495
discharge_disposition_id_25,0.0020147045380668493
max_glu_serum_>300,0.0017606060696443216
max_glu_serum_>200,0.00173621175988517
race_Other,0.0017062610924817299
admission_source_id_5,0.001450130695383887
discharge_disposition_id_15,0.0012163692812611326
admission_source_id_2,0.0011258195868911348
race_Asian,0.0011063046764007737
age_[10-20),0.0010913748011785083
discharge_disposition_id_4,0.0010193838107345548
discharge_disposition_id_7,0.0009488386228083226
age_[0-10),0.0006268198063852181
admission_type_id_8,0.00042502452825784673
admission_source_id_3,0.00039235508544710126
admission_source_id_20,0.0001920724062496457
discharge_disposition_id_8,0.00015961084172856188
admission_source_id_9,0.00010929296692018243
discharge_disposition_id_24,6.198759467416511e-05
discharge_disposition_id_9,1.4718276988992922e-05
admission_type_id_7,9.9570533107137e-06
gender_Unknown/Invalid,0.0
discharge_disposition_id_16,0.0
admission_type_id_4,0.0
discharge_disposition_id_12,0.0
discharge_disposition_id_17,0.0
discharge_disposition_id_10,0.0
admission_source_id_14,0.0
admission_source_id_13,0.0
admission_source_id_11,0.0
admission_source_id_10,0.0
admission_source_id_8,0.0
discharge_disposition_id_27,0.0
admission_source_id_22,0.0
admission_source_id_25,0.0
